SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
AR-SLu,San Luis,-33.4648,-66.4598,,MF,,400
AR-Vir,Virasoro,-28.2395,-56.1886,,ENF,,
AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
AU-Ade,Adelaide River,-13.0769,131.1178,,WSA,,
AU-ASM,Alice Springs,-22.283,133.249,,ENF,,
AU-Cpr,Calperum,-34.0021,140.5891,,SAV,,
AU-Cum,Cumberland Plains,-33.6133,150.7225,,EBF,,
AU-DaP,Daly River Savanna,-14.0633,131.3181,,GRA,,
AU-DaS,Daly River Cleared,-14.1593,131.3881,,SAV,,
AU-Dry,Dry River,-15.2588,132.3706,,SAV,,
AU-Emr,"Emerald, Queensland, Australia",-23.8587,148.4746,,GRA,,
AU-Fog,Fogg Dam,-12.5452,131.3072,,WET,,
AU-Gin,Gingin,-31.3764,115.7138,,WSA,,
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,,SAV,,
AU-How,Howard Springs,-12.4943,131.1523,,WSA,,
AU-Lox,Loxton,-34.4704,140.6551,,DBF,,
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,,WSA,,
AU-Rig,Riggs Creek,-36.6499,145.5759,,GRA,,
AU-Rob,"Robson Creek, Queensland, Australia",-17.1175,145.6301,,EBF,,
AU-Stp,Sturt Plains,-17.1507,133.3502,,GRA,,
AU-TTE,Ti Tree East,-22.287,133.64,,OSH,,
AU-Tum,Tumbarumba,-35.6566,148.1517,,EBF,,
AU-Wac,Wallaby Creek,-37.4259,145.1878,,EBF,,
AU-Whr,Whroo,-36.6732,145.0294,,EBF,,
AU-Wom,Wombat,-37.4222,144.0944,705,EBF,,
AU-Ync,Jaxa,-34.9893,146.2907,,GRA,,
BE-Bra,Brasschaat,51.3092,4.5206,16,MF,9.8,750
BE-Lon,Lonzee,50.5516,4.7461,167,CRO,10,800
BE-Vie,Vielsalm,50.3051,5.9981,493,MF,7.8,1062
BR-Sa1,Santarem-Km67-Primary Forest,-2.8567,-54.9589,88,EBF,26.13,2075
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,100,EBF,26.12,2044
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,340,MF,1.3,831
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,259,ENF,-3.2,520
