year,caraib,dlem,jules,lpjguess,lpjml,orchidee,vegas,visit
1971,1.14E+17,9.96E+16,9.21E+16,1.07E+17,1.21E+17,9.75E+16,1.02E+17,1.23E+17
1972,1.14E+17,9.89E+16,9.05E+16,1.06E+17,1.20E+17,9.61E+16,1.03E+17,1.23E+17
1973,1.16E+17,1.02E+17,9.35E+16,1.10E+17,1.22E+17,9.70E+16,1.03E+17,1.22E+17
1974,1.18E+17,1.01E+17,9.73E+16,1.12E+17,1.25E+17,1.01E+17,1.07E+17,1.28E+17
1975,1.17E+17,1.01E+17,9.73E+16,1.11E+17,1.25E+17,9.93E+16,1.08E+17,1.28E+17
1976,1.18E+17,1.00E+17,9.51E+16,1.11E+17,1.25E+17,9.97E+16,1.07E+17,1.29E+17
1977,1.19E+17,1.01E+17,9.35E+16,1.10E+17,1.25E+17,9.98E+16,1.07E+17,1.28E+17
1978,1.20E+17,1.02E+17,9.60E+16,1.11E+17,1.25E+17,1.00E+17,1.06E+17,1.28E+17
1979,1.20E+17,1.02E+17,9.63E+16,1.10E+17,1.24E+17,1.00E+17,1.06E+17,1.29E+17
1980,1.18E+17,1.01E+17,9.45E+16,1.08E+17,1.22E+17,9.79E+16,1.04E+17,1.25E+17
1981,1.20E+17,1.04E+17,9.51E+16,1.11E+17,1.24E+17,1.00E+17,1.06E+17,1.28E+17
1982,1.19E+17,1.02E+17,9.39E+16,1.10E+17,1.23E+17,9.89E+16,1.04E+17,1.27E+17
1983,1.18E+17,1.03E+17,9.11E+16,1.09E+17,1.21E+17,9.63E+16,1.03E+17,1.22E+17
1984,1.21E+17,1.04E+17,9.64E+16,1.12E+17,1.25E+17,1.00E+17,1.04E+17,1.27E+17
1985,1.20E+17,1.02E+17,9.62E+16,1.12E+17,1.25E+17,1.01E+17,1.04E+17,1.26E+17
1986,1.22E+17,1.03E+17,9.68E+16,1.13E+17,1.24E+17,1.02E+17,1.04E+17,1.27E+17
1987,1.21E+17,1.03E+17,9.49E+16,1.11E+17,1.22E+17,9.95E+16,1.03E+17,1.25E+17
1988,1.22E+17,1.05E+17,9.75E+16,1.14E+17,1.25E+17,1.00E+17,1.06E+17,1.25E+17
1989,1.25E+17,1.06E+17,1.00E+17,1.16E+17,1.28E+17,1.04E+17,1.07E+17,1.30E+17
1990,1.27E+17,1.07E+17,9.96E+16,1.16E+17,1.28E+17,1.03E+17,1.06E+17,1.30E+17
1991,1.24E+17,1.06E+17,9.83E+16,1.14E+17,1.24E+17,1.02E+17,1.06E+17,1.29E+17
1992,1.23E+17,1.05E+17,9.35E+16,1.14E+17,1.23E+17,9.97E+16,1.02E+17,1.24E+17
1993,1.25E+17,1.05E+17,9.80E+16,1.15E+17,1.25E+17,1.02E+17,1.04E+17,1.27E+17
1994,1.25E+17,1.05E+17,9.74E+16,1.13E+17,1.24E+17,1.01E+17,1.05E+17,1.28E+17
1995,1.25E+17,1.07E+17,9.80E+16,1.15E+17,1.24E+17,1.02E+17,1.06E+17,1.28E+17
1996,1.26E+17,1.06E+17,9.95E+16,1.17E+17,1.26E+17,1.03E+17,1.05E+17,1.29E+17
1997,1.27E+17,1.08E+17,9.88E+16,1.18E+17,1.27E+17,1.03E+17,1.07E+17,1.31E+17
1998,1.28E+17,1.09E+17,9.80E+16,1.18E+17,1.27E+17,1.02E+17,1.07E+17,1.30E+17
1999,1.29E+17,1.09E+17,1.01E+17,1.19E+17,1.29E+17,1.05E+17,1.08E+17,1.33E+17
2000,1.31E+17,1.10E+17,1.04E+17,1.20E+17,1.31E+17,1.07E+17,1.09E+17,1.36E+17
2001,1.29E+17,1.10E+17,1.03E+17,1.19E+17,1.29E+17,1.05E+17,1.09E+17,1.35E+17
2002,1.26E+17,1.09E+17,9.82E+16,1.15E+17,1.25E+17,1.03E+17,1.06E+17,1.30E+17
2003,1.28E+17,1.09E+17,9.95E+16,1.18E+17,1.25E+17,1.03E+17,1.06E+17,1.30E+17
2004,1.31E+17,1.11E+17,1.01E+17,1.20E+17,1.28E+17,1.06E+17,1.08E+17,1.33E+17
2005,1.31E+17,1.12E+17,1.01E+17,1.19E+17,1.29E+17,1.05E+17,1.07E+17,1.32E+17
2006,1.34E+17,1.12E+17,1.03E+17,1.22E+17,1.30E+17,1.07E+17,1.10E+17,1.35E+17
2007,1.33E+17,1.12E+17,1.04E+17,1.21E+17,1.31E+17,1.08E+17,1.09E+17,1.36E+17
2008,1.35E+17,1.11E+17,1.06E+17,1.22E+17,1.32E+17,1.09E+17,1.09E+17,1.36E+17
2009,1.35E+17,1.11E+17,1.06E+17,1.20E+17,1.31E+17,1.08E+17,1.08E+17,1.35E+17
2010,1.36E+17,1.12E+17,1.06E+17,1.24E+17,1.32E+17,1.09E+17,1.09E+17,1.35E+17
