site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AR-SLu,-33.4648,-66.4598,caraib,468.0471996,451.6568138,524.6978491,567.4120519,629.6825728,601.8416754,533.5750668,546.7031145,669.9008445,655.7982779,723.6296589,704.2824201,684.933192,652.1720872,754.0705769,839.9134955,778.440377,673.4216426,823.7588956,851.7715682,826.4943098,858.0171039,798.8118013,802.8148362,861.3931587,887.2504099,949.7323941,976.7168423,959.4933702,931.5130441,1095.81279,1072.251736,751.6756917,231.3060391,355.5406278,442.4284204,535.354645,678.2831179,608.5534268,679.9289656
AR-Vir,-28.2395,-56.1886,caraib,2081.013289,2097.476445,2297.393708,2355.587179,2401.861888,2384.026374,2431.933922,2314.018218,2339.089476,2487.6124,2314.68855,2127.199971,1901.075579,1857.530294,1777.992245,2127.146917,2203.048112,2163.617872,2279.884738,2345.232523,2255.562979,2337.613963,2381.592773,2352.777083,2254.120562,2389.837029,2493.903629,2450.028469,2467.950666,2451.77442,2577.122876,2589.498916,2612.585008,2364.039505,2238.940783,2095.165202,2123.606732,2239.088566,2301.240692,2384.054701
AT-Neu,47.1167,11.3175,caraib,806.1498898,732.8910633,796.5896663,774.0437835,738.6216671,793.3526664,830.304932,721.1300437,748.5000671,731.2728963,813.0667576,807.9694944,880.679366,766.5989802,824.7203949,835.7606956,756.6975877,885.5862098,824.0804091,876.3911666,781.7991052,909.5104543,944.8345626,1017.483724,890.324309,919.1307031,973.8750344,976.5304021,969.5085068,972.2268773,912.9905962,1001.339803,1067.951173,883.9256944,925.7657752,989.0484806,1070.977758,1009.294519,1079.707237,981.6947213
AU-Ade,-13.0769,131.1178,caraib,1444.825737,1289.314491,1518.047848,1476.642715,1542.821551,1371.707981,1350.79494,1293.482933,1210.379428,1373.156087,1510.901567,1250.794121,1407.246835,1368.06612,1473.226269,1653.070648,1427.995132,1360.921774,1394.198832,1470.29009,1454.814511,1560.751408,1400.027811,1369.598567,1436.747616,1528.586293,1430.315645,1564.894175,1753.832223,1806.293067,1756.364506,1280.012722,1287.910085,1253.549205,1298.499507,1475.506768,1464.827294,1390.476259,1341.488852,1783.425692
AU-ASM,-22.283,133.249,caraib,122.8295286,138.0863342,158.1576057,272.2926874,255.860273,262.4202941,253.066172,250.308097,281.3529908,216.693231,218.5551809,204.4346225,270.2913235,257.7785885,182.9973164,207.9370847,190.3200661,213.3918691,242.4514052,217.906849,226.9951699,228.7774119,268.7562095,119.3840963,55.87226005,118.8008005,158.859297,210.3286403,205.6742566,424.6062918,336.1523714,150.2178747,101.421571,182.653809,157.4392371,169.1092118,180.4523469,144.4696024,140.8827664,153.2207453
AU-Cpr,-34.0021,140.5891,caraib,551.6789999,502.0812856,632.4006511,714.2478577,559.8845296,574.3722754,490.5373613,535.1892242,636.7191746,578.6101052,548.1512023,467.5312619,405.6252607,391.6561088,392.3337848,425.915639,489.1323135,511.3049928,553.1741031,517.5505262,518.3386014,600.3138881,679.9606502,570.265841,622.3918527,631.6922799,616.3687785,662.2605887,650.8901091,738.9711784,694.2979693,536.8190543,613.7891188,599.5294809,662.1381953,618.8060113,657.5571776,645.8321751,655.4737741,759.9292519
AU-Cum,-33.6133,150.7225,caraib,1382.849362,1426.737495,1451.594209,1455.547886,1417.803564,1465.16546,1371.029981,1482.880213,1405.051375,1344.328626,1472.111384,1426.922899,1442.73066,1498.844712,1493.306558,1479.345403,1524.916729,1576.876328,1580.352102,1570.835577,1492.783611,1616.97616,1603.778103,1481.814353,1587.959674,1579.208504,1575.212493,1615.322309,1663.203828,1630.42703,1619.166624,1496.979773,1543.226757,1577.636378,1614.816369,1552.824367,1647.486131,1654.492367,1642.004328,1706.646045
AU-DaP,-14.0633,131.3181,caraib,1197.371465,1142.937557,1357.393989,1287.528241,1375.780744,1223.243023,1216.047654,1014.404125,1050.907465,1121.199123,1129.450363,1087.066689,1025.059923,1063.224463,1143.693619,1236.159645,1140.457281,1103.275604,1151.590007,1188.823075,1174.846886,1234.533796,1154.274032,1139.178996,1164.790428,1208.298388,1165.857289,1284.423319,1499.130544,1581.970598,1497.207572,1178.194948,1189.483731,1272.14468,1282.427983,1461.91014,1349.680039,1342.299944,1109.924376,1025.50882
AU-DaS,-14.1593,131.3881,caraib,1197.371465,1142.937557,1357.393989,1287.528241,1375.780744,1223.243023,1216.047654,1014.404125,1050.907465,1121.199123,1129.450363,1087.066689,1025.059923,1063.224463,1143.693619,1236.159645,1140.457281,1103.275604,1151.590007,1188.823075,1174.846886,1234.533796,1154.274032,1139.178996,1164.790428,1208.298388,1165.857289,1284.423319,1499.130544,1581.970598,1497.207572,1178.194948,1189.483731,1272.14468,1282.427983,1461.91014,1349.680039,1342.299944,1109.924376,1025.50882
AU-Dry,-15.2588,132.3706,caraib,921.9551649,888.7588272,961.0191295,1082.325568,951.7474251,984.9123861,998.7824511,760.3171028,882.3725529,866.9893646,865.5462981,921.2661372,880.9545151,977.4959137,940.974883,837.5309593,903.0161154,865.3138277,873.1831952,788.2560585,860.1442,814.6245786,878.1433948,881.2986744,967.4267662,942.2989191,948.2909743,1046.750687,1207.865803,1415.197258,1303.30632,970.6387636,896.6355193,1031.827372,954.8162988,1132.684009,948.0665042,1051.640517,703.247905,664.4863807
