site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AR-SLu,-33.4648,-66.4598,caraib,468.1635881,772.5040005,634.0291416,615.7474499,636.6151235,543.6228757,528.1469571,521.4888738,652.8967828,527.6006799,549.6959783,560.1336621,524.9243064,560.2146878,577.4882028,473.1334598,490.2118671,463.5899226,586.2290153,528.0472237,548.5660708,507.3232998,467.6139747,544.227182,471.599344,506.2780825,535.1712108,591.6090941,564.9261174,555.9178198,614.4771345,527.5779854,471.6213575,813.6450581,662.547068,625.1329067,589.9165626,636.1405547,451.1508801,527.9828648
AR-Vir,-28.2395,-56.1886,caraib,1227.77164,1365.7953,1263.483276,1255.521868,1221.880663,1232.778556,1311.052626,1277.100562,1269.23189,1327.582742,1302.892777,1825.499896,1652.41231,1572.467061,1523.310561,1391.103254,1341.276054,1365.191653,1296.601219,1291.377862,1359.2156,1325.773479,1373.702353,1398.785534,1456.612121,1392.190125,1463.012041,1395.923722,1501.162568,1475.741245,1545.834086,1458.534396,1519.487231,1485.872082,1603.669683,2074.126149,1814.224103,1747.46262,1741.823732,1648.087774
AT-Neu,47.1167,11.3175,caraib,680.1140649,667.9358299,680.0863759,678.2961335,683.8846584,680.9124635,686.6961018,651.7645652,671.7811316,649.7178332,668.8653018,696.8619523,691.7350132,648.1163442,666.919631,678.0333304,659.1566635,685.5645035,679.0808593,691.2814399,687.4574656,702.676602,688.6384095,740.7494038,673.1645111,667.5052832,700.2363495,702.0602916,693.2717968,711.8423004,672.5398602,696.5488084,717.901406,679.7675558,679.8472424,719.9964626,695.4989348,702.6832832,693.7123428,656.904509
AU-Ade,-13.0769,131.1178,caraib,633.1793679,518.4443169,523.5566026,451.0925131,472.6098672,452.1553939,651.2035895,1006.667517,723.7660582,642.2073349,557.4189311,461.9203983,550.3806692,466.5591014,492.5040489,512.5886562,599.1302656,921.5319405,690.0844863,632.4503322,520.152193,520.5880798,454.547958,484.268163,555.5016078,551.1166995,453.6374869,508.4161926,479.1335403,478.4508506,597.3176899,785.6067116,928.6135704,1033.94613,810.2516464,612.7412531,548.6117571,503.3215737,527.2264824,554.1496001
AU-ASM,-22.283,133.249,caraib,68.79120561,74.55648778,78.45715203,110.0556552,100.3863755,90.16914575,96.4650326,99.56195191,104.7912961,94.6207552,98.31798058,106.4421409,123.4491755,103.1457859,86.19778043,102.0198773,89.31904408,96.94561331,99.73737452,93.06562568,96.15354106,84.32648769,90.52265994,78.38878373,119.2460273,105.8621746,126.4980684,120.152154,113.990003,137.9382612,108.2333914,93.24571933,101.4886037,106.824335,83.93362108,75.95120175,73.38855793,60.06206931,57.04252673,103.6783928
AU-Cpr,-34.0021,140.5891,caraib,234.0524476,208.7338214,312.7603926,306.8840539,266.4103415,247.343583,223.4216705,250.559561,292.0878178,271.119081,251.8632295,207.017943,257.9690147,236.6841256,244.8533054,247.4469677,259.3854134,268.3630068,267.748026,264.4756837,257.2486466,296.125205,286.8041032,226.3468401,289.7262721,258.4696111,274.2453507,275.9839048,288.440614,322.8395585,284.9374811,241.830423,293.2710883,276.7472962,296.3323187,255.4467302,290.2441999,260.1548058,285.9746855,330.9620451
AU-Cum,-33.6133,150.7225,caraib,574.9459108,607.1767349,609.1660817,562.6799609,585.7361005,604.6844616,559.3018849,633.6062569,563.2249033,551.1884256,654.9651879,577.9877865,638.3637077,682.4622706,661.4615182,624.2554775,697.8918189,714.8718415,672.1072952,715.5054994,625.1459331,730.0492784,712.1060985,642.8860042,792.835407,750.6358082,744.0928025,787.1821953,801.3491053,758.9480632,750.0762018,695.1891057,820.3394777,798.4412822,852.5039583,720.8492288,842.3807753,812.3727449,791.493395,852.51729
AU-DaP,-14.0633,131.3181,caraib,396.34217,360.0655986,406.7071341,352.9652961,398.6059919,370.1737725,520.6097618,709.9623337,596.5046145,544.2191888,468.6151551,449.1311899,674.7336336,524.4533811,494.4440368,464.5083875,441.8594646,545.9103737,457.2429963,455.0682229,388.3354037,405.5635486,365.5160637,434.0467982,544.5723521,486.053072,398.2521429,430.2065002,416.1996545,410.2999858,436.9052601,494.2342546,539.3913712,523.3544999,527.9732024,465.8820909,424.7630521,444.7492675,533.5740543,913.8930142
AU-DaS,-14.1593,131.3881,caraib,396.34217,360.0655986,406.7071341,352.9652961,398.6059919,370.1737725,520.6097618,709.9623337,596.5046145,544.2191888,468.6151551,449.1311899,674.7336336,524.4533811,494.4440368,464.5083875,441.8594646,545.9103737,457.2429963,455.0682229,388.3354037,405.5635486,365.5160637,434.0467982,544.5723521,486.053072,398.2521429,430.2065002,416.1996545,410.2999858,436.9052601,494.2342546,539.3913712,523.3544999,527.9732024,465.8820909,424.7630521,444.7492675,533.5740543,913.8930142
AU-Dry,-15.2588,132.3706,caraib,400.0587358,367.8289093,425.2923075,382.5094127,373.8289752,386.2269925,414.1379373,536.7670325,494.6821656,471.2965253,411.7527199,406.0477957,479.8462408,441.0980708,413.8191119,350.8942414,380.5977768,438.4080275,590.5899208,461.5121905,416.8206514,368.8040722,365.2015633,397.7138707,404.6604175,374.585037,338.0890244,383.60764,364.0893284,373.5114781,361.5073397,389.1504843,644.3971155,549.0393109,517.1259882,418.0069312,389.0254172,456.0353758,545.1973463,669.3785581
