Record_number,lon,lat,year,GOME2_SIF,SCIA_SIF
1,-99.94,56.63,2001,NaN,NaN
2,-99.97,56.46,2001,NaN,NaN
3,-98.98,55.91,2001,NaN,NaN
4,-98.48,55.86,2001,NaN,NaN
5,-98.39,55.92,2001,NaN,NaN
6,-98.52,55.91,2001,NaN,NaN
7,-98.48,55.88,2001,NaN,NaN
8,-99.94,56.63,2001,NaN,NaN
9,-99.98,56.46,2001,NaN,NaN
10,-98.98,55.9,2001,NaN,NaN
11,-98.48,55.86,2001,NaN,NaN
12,-98.39,55.92,2001,NaN,NaN
13,-98.51,55.91,2001,NaN,NaN
14,-98.48,55.88,2001,NaN,NaN
15,-99.94,56.63,1999,NaN,NaN
16,-99.97,56.46,1999,NaN,NaN
17,-98.98,55.91,1999,NaN,NaN
18,-98.48,55.86,1999,NaN,NaN
19,-98.39,55.92,1999,NaN,NaN
20,-98.52,55.91,1999,NaN,NaN
21,-98.48,55.88,1999,NaN,NaN
22,-99.94,56.63,1999,NaN,NaN
23,-99.98,56.46,1999,NaN,NaN
24,-98.98,55.9,1999,NaN,NaN
25,-98.48,55.86,1999,NaN,NaN
26,-98.39,55.92,1999,NaN,NaN
27,-98.51,55.91,1999,NaN,NaN
28,-98.48,55.88,1999,NaN,NaN
31,-84.29,35.99,1976,NaN,NaN
31,-84.29,35.99,1977,NaN,NaN
32,-84.29,35.99,1976,NaN,NaN
32,-84.29,35.99,1977,NaN,NaN
42,-105.12,53.99,1995,NaN,NaN
42,-105.12,53.99,1996,NaN,NaN
43,-105.12,53.99,1995,NaN,NaN
43,-105.12,53.99,1996,NaN,NaN
44,11.87,50.13,1997,NaN,NaN
44,11.87,50.13,1998,NaN,NaN
44,11.87,50.13,1999,NaN,NaN
44,11.87,50.13,2000,NaN,NaN
45,11.87,50.13,1997,NaN,NaN
45,11.87,50.13,1998,NaN,NaN
45,11.87,50.13,1999,NaN,NaN
45,11.87,50.13,2000,NaN,NaN
49,11.87,50.13,1997,NaN,NaN
50,11.87,50.13,1997,NaN,NaN
51,11.87,50.13,1997,NaN,NaN
52,11.87,50.13,1997,NaN,NaN
53,11.87,50.13,1997,NaN,NaN
54,11.87,50.13,1997,NaN,NaN
55,11.87,50.13,1997,NaN,NaN
56,11.87,50.13,1997,NaN,NaN
57,11.87,50.13,1997,NaN,NaN
58,10.45,51.08,1999,NaN,NaN
58,10.45,51.08,2000,NaN,NaN
59,10.45,51.08,2000,NaN,NaN
59,10.45,51.08,2001,NaN,NaN
69,-147.87,64.8,2000,NaN,NaN
69,-147.87,64.8,2001,NaN,NaN
70,-147.87,64.8,2000,NaN,NaN
70,-147.87,64.8,2001,NaN,NaN
71,-147.87,64.8,2000,NaN,NaN
71,-147.87,64.8,2001,NaN,NaN
72,7.08,48.67,1996,NaN,NaN
72,7.08,48.67,1997,NaN,NaN
73,7.08,48.67,1996,NaN,NaN
73,7.08,48.67,1997,NaN,NaN
77,-88,46,2000,NaN,NaN
77,-88,46,2001,NaN,NaN
77,-88,46,2002,NaN,NaN
77,-88,46,2003,NaN,1.1608
78,-47.52,-2.98,1994,NaN,NaN
78,-47.52,-2.98,1995,NaN,NaN
79,-85.5,35.08,1996,NaN,NaN
79,-85.5,35.08,1997,NaN,NaN
80,-85.5,35.08,1996,NaN,NaN
80,-85.5,35.08,1997,NaN,NaN
81,-85.5,35.08,1996,NaN,NaN
81,-85.5,35.08,1997,NaN,NaN
82,-85.5,35.08,1996,NaN,NaN
82,-85.5,35.08,1997,NaN,NaN
88,-105.12,53.99,1997,NaN,NaN
88,-105.12,53.99,1998,NaN,NaN
