Year,NEE_VUT_REF_NIGHT,TA_F,P_F,NEE_VUT_REF_QC,GPP_DT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,RECO_NT_VUT_REF,SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
2009.0,710.78380123104,20.481,355.433,0.0348174,4056.76,2584.58,3814.97,1057.51,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2010.0,539.933614547472,19.044,351.7,0.95274,2760.49,2550.07,1561.28,1179.32,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2011.0,502.8923173269599,19.557,375.91,0.233847,3024.39,2599.08,1443.28,1065.69,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2010.0,1774.1480458140002,21.223,1664.062,0.625171,2416.66,4777.04,1327.65,4580.19,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2011.0,2023.28671552704,21.458,1503.914,0.71484,2985.15,4314.71,2871.05,4680.47,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2012.0,2208.1137707527196,22.034,1130.195,0.415414,2363.94,4428.96,2677.78,6513.71,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2002.0,877.3523043494399,7.803,984.159,0.944578,1738.44,2038.43,1743.69,2364.88,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2003.0,785.4479731167839,7.178,763.076,0.910959,1808.14,1935.66,1795.37,2095.94,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2004.0,828.5318089793639,6.33,785.904,0.902209,1868.31,2016.32,1785.05,2236.45,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2005.0,756.1057692856608,5.642,744.664,0.912842,1682.1,1847.94,1393.45,2074.26,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2006.0,876.0146209005601,6.785,581.5,0.878196,1593.19,2082.96,1467.05,2272.24,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2007.0,945.2704147057441,7.269,617.7,0.924943,2101.53,2408.98,1739.87,2610.75,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2008.0,1156.20436310328,7.087,647.9,0.963001,1956.04,2620.77,1848.08,3092.71,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2009.0,1237.77538211592,6.774,641.946,0.953139,1860.61,2713.84,1647.26,3337.97,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
2010.0,1002.0660372827999,6.052,527.38,0.960046,1757.63,2222.15,1613.67,2658.63,AT-Neu,Neustift,47.1167,11.3175,970.0,GRA,6.3,852
